Genotype;vertpos;vertvel;lifespan
(r(, , rX[G][*]LfX[|, -1:10.382]), XLfX[|, r:1], );0.8485347260934935;0.017290697861831926;50.0
M(r(, , X[@,p:1]rX[G][*]LfX[|, -1:7.366]), XLLfX[|, r:1], );0.8292115413572756;0.01691756414685892;50.0
M(r(, , X[@,p:1]rX[G][*]LfX[|, -1:2.482]), XLLfX[|, r:1], );0.8292115412677722;0.01691756414506885;50.0
M(r(, , X[@,p:1]rX[G][*]LfX[|, -1:3.123]), XLLfX[|, r:1], );0.8292115411929317;0.016917564143572043;50.0
M(r(, , X[@, p:1]rX[G][*]LfX[|, -1:2.482]), XLLfX[|, r:1], );0.8292115411838348;0.0169175641433901;50.0
M(r(, , X[@]rX[G][*]LfX[|, -1:5.849]), XLfX[|], );0.7925553937680778;0.01618444468297809;50.0
(rM(, , X[@]rX[G][*]LfX[|, -1:6.802]), XLfX[|, r:1], );0.7925501772729922;0.016184340353076372;50.0
(rM(, , X[@]rX[G][*]LfX[|, -1:6.256]), XLfX[|, r:1], );0.7925500378064113;0.016184337563744756;50.0
(rM(, , X[@]rX[G][*]LfX[|, -1:8.8]), XLfX[|, r:1], );0.7925499629141077;0.016184336065898683;50.0
(rM(, , X[@]rX[G][*]LfX[|, -1:8.935]), XLfX[|, r:1], );0.7925499537010929;0.01618433588163839;50.0
