Genotype;vertpos;vertvel;lifespan
RL(Q(MFX[@,1:1]X[S]), cXRmXC((rmX), (XCX), FX));0.6021106237535192;2.6783292898755472e-05;50.0
RL(Q(MFX[@, 1:-1.45]X[S]), cXRmXC((mX), (XX), FX));0.584621314540615;7.90238691057954e-05;50.0
RL(Q(MFX[@]X[S]), cXRmXC((mX), (XX), FX));0.5846212961782222;7.902423635364531e-05;50.0
RL(Q(MFX[@, 1:-0.485]X[S]), cXRmXC((mX), (X[N, -1:1]X), FX));0.5846212956267608;7.902424738289726e-05;50.0
RL(Q(MFX[@, 1:-0.485]X[S]), cXRmXC((mX), (XX), FX));0.5846212952692931;7.902425453223393e-05;50.0
RL(Q(MFX[@]X), cXRmXC((mX), (XX), FX));0.5846212918230693;7.90243234567145e-05;50.0
RL(Q(MFX[@, 1:1.441]X[S]), cXRmXC((mX), (XX), FX));0.584621288542444;7.902438906922326e-05;50.0
RL(Q(MFX[@]X[S]), cXRmXC((rmX), (XX), FX));0.5846212874687733;7.902441054263853e-05;50.0
RL(Q(MFX[@,1:1.154]X[S]), cXRmXC((mX), (XX), FX));0.5846212873696874;7.902441252433779e-05;50.0
RL(Q(MFX[@, 1:-0.485]X[S]), cXRmXC((mX), (X[N, -1:-5.471]X), FX));0.5846212862141926;7.902443563423956e-05;50.0
